Date	Source	Country	Strength	Sentiment	Passion	Reach
6/19/2016	bookmarks	Cape Verde	0	1:00	0	2
6/19/2016	images	Cape Verde	100	8:00	58	76
6/19/2016	all	Cape Verde	75	17:01	32	51
6/19/2016	blogs	Central African Republic	2	0:01	0	2
6/19/2016	microblogs	Central African Republic	100	1:01	5	164
6/19/2016	bookmarks	Central African Republic	8	2:01	22	28
6/19/2016	images	Central African Republic	74	0:00	21	59
6/19/2016	all	Central African Republic	40	1:01	21	37
6/19/2016	blogs	Chad	8	2:00	0	4
6/19/2016	microblogs	Chad	NA	NA	NA	NA
6/19/2016	bookmarks	Chad	42	7:01	33	28
6/19/2016	images	Chad	100	19:00	65	31
6/19/2016	all	Chad	59	17:01	57	25
6/19/2016	blogs	Chile	13	2:01	0	3
6/19/2016	microblogs	Chile	NA	NA	NA	NA
6/19/2016	bookmarks	Chile	36	0:05	33	24
6/19/2016	images	Chile	78	4:00	26	50
6/19/2016	all	Chile	79	1:01	14	64
6/19/2016	blogs	China	12	0:00	50	3
6/19/2016	microblogs	China	NA	NA	NA	NA
6/19/2016	bookmarks	China	38	1:01	5	36
6/19/2016	images	China	100	4:00	65	35
6/19/2016	all	China	87	3:01	35	55
6/19/2016	blogs	Colombia	8	2:00	0	0
6/19/2016	microblogs	Colombia	100	6:00	5	186
6/19/2016	bookmarks	Colombia	42	5:01	28	30
6/19/2016	images	Colombia	75	0:00	33	46
6/19/2016	all	Colombia	64	6:01	32	41
6/19/2016	blogs	Comoros	2	1:00	0	4
6/19/2016	microblogs	Comoros	NA	NA	NA	NA
6/19/2016	bookmarks	Comoros	2	1:00	0	6
6/19/2016	images	Comoros	100	0:00	92	14
6/19/2016	all	Comoros	66	2:00	88	8
6/19/2016	blogs	Congo	1	0:00	0	1
6/19/2016	microblogs	Congo	100	3:01	28	138
6/19/2016	bookmarks	Congo	26	7:01	15	32
6/19/2016	images	Congo	100	0:01	76	23
6/19/2016	all	Congo	57	4:01	66	20
6/19/2016	blogs	Democratic Republic of Congo	9	4:01	12	7
6/19/2016	microblogs	Democratic Republic of Congo	NA	NA	NA	NA
6/19/2016	bookmarks	Democratic Republic of Congo	0	2:00	16	10
6/19/2016	images	Democratic Republic of Congo	100	1:01	35	118
6/19/2016	all	Democratic Republic of Congo	51	3:01	33	36
6/19/2016	blogs	Costa Rica	7	8:00	0	5
6/19/2016	microblogs	Costa Rica	100	13:01	25	126
6/19/2016	bookmarks	Costa Rica	16	7:00	6	28
6/19/2016	images	Costa Rica	100	19:00	69	31
6/19/2016	all	Costa Rica	80	47:01:00	44	46
6/19/2016	blogs	Croatia	5	4:01	0	3
6/19/2016	microblogs	Croatia	NA	NA	NA	NA
6/19/2016	bookmarks	Croatia	40	4:00	5	38
6/19/2016	images	Croatia	100	2:00	59	28
6/19/2016	all	Croatia	47	8:01	45	25
6/19/2016	blogs	Cuba	7	1:02	0	1
6/19/2016	microblogs	Cuba	100	1:04	9	174
6/19/2016	bookmarks	Cuba	34	4:01	5	38
6/19/2016	images	Cuba	100	1:02	57	43
6/19/2016	all	Cuba	89	1:01	29	62
6/19/2016	blogs	Cyprus	0	2:00	0	0
6/19/2016	microblogs	Cyprus	NA	NA	NA	NA
6/19/2016	bookmarks	Cyprus	28	2:01	31	26
6/19/2016	images	Cyprus	100	4:00	80	19
6/19/2016	all	Cyprus	99	3:01	48	53
6/19/2016	blogs	Czech Republic	6	5:01	20	4
6/19/2016	microblogs	Czech Republic	100	7:01	10	166
6/19/2016	bookmarks	Czech Republic	42	11:00	14	36
6/19/2016	images	Czech Republic	76	5:00	60	30
6/19/2016	all	Czech Republic	78	9:01	30	54
6/19/2016	blogs	Denmark	3	4:00	0	1
6/19/2016	microblogs	Denmark	NA	NA	NA	NA
6/19/2016	bookmarks	Denmark	44	1:05	22	34
6/19/2016	images	Denmark	100	0:00	75	25
6/19/2016	all	Denmark	63	1:01	65	22
6/19/2016	blogs	Djibouti	2	1:00	0	2
6/19/2016	microblogs	Djibouti	NA	NA	NA	NA
6/19/2016	bookmarks	Djibouti	2	3:00	16	10
6/19/2016	images	Djibouti	68	1:00	57	24
6/19/2016	all	Djibouti	39	5:00	52	20
6/19/2016	blogs	Dominica	3	4:01	33	2
6/19/2016	microblogs	Dominica	100	2:01	0	130
6/19/2016	bookmarks	Dominica	4	3:00	0	22
6/19/2016	images	Dominica	100	2:00	97	3
6/19/2016	all	Dominica	68	4:01	54	33
6/19/2016	blogs	Dominican Republic	4	1:01	25	3
6/19/2016	microblogs	Dominican Republic	NA	NA	NA	NA
6/19/2016	bookmarks	Dominican Republic	12	6:00	20	32
6/19/2016	images	Dominican Republic	52	0:01	64	16
6/19/2016	all	Dominican Republic	47	3:01	27	38
6/19/2016	blogs	East Timor	6	0:00	16	5
6/19/2016	microblogs	East Timor	100	3:00	22	140
6/19/2016	bookmarks	East Timor	2	2:01	7	24
6/19/2016	images	East Timor	100	1:00	68	31
6/19/2016	all	East Timor	79	4:01	43	48
6/19/2016	blogs	Ecuador	6	4:00	0	4
6/19/2016	microblogs	Ecuador	NA	NA	NA	NA
6/19/2016	bookmarks	Ecuador	40	5:00	40	24
6/19/2016	images	Ecuador	96	1:00	60	26
6/19/2016	all	Ecuador	46	9:00	52	21
6/19/2016	blogs	Egypt	8	2:01	0	0
6/19/2016	microblogs	Egypt	100	9:00	14	140
6/19/2016	bookmarks	Egypt	38	2:01	15	32
6/19/2016	images	Egypt	100	2:00	69	31
6/19/2016	all	Egypt	82	2:01	60	32
6/19/2016	blogs	El Salvador	9	0:01	12	7
6/19/2016	microblogs	El Salvador	NA	NA	NA	NA
6/19/2016	bookmarks	El Salvador	4	2:01	6	30
6/19/2016	images	El Salvador	100	1:00	78	22
6/19/2016	all	El Salvador	73	2:01	45	43
6/19/2016	blogs	Equatorial Guinea	NA	NA	NA	NA
6/19/2016	microblogs	Equatorial Guinea	100	1:00	9	172
6/19/2016	bookmarks	Equatorial Guinea	4	1:00	0	14
6/19/2016	images	Equatorial Guinea	100	1:00	25	86
6/19/2016	all	Equatorial Guinea	80	3:00	15	91
6/19/2016	blogs	Eritrea	2	1:00	0	2
6/19/2016	microblogs	Eritrea	100	1:03	13	162
6/19/2016	bookmarks	Eritrea	2	5:01	11	30
6/19/2016	images	Eritrea	100	0:00	19	80
6/19/2016	all	Eritrea	79	1:01	15	72
6/19/2016	blogs	Estonia	3	0:02	0	3
6/19/2016	microblogs	Estonia	100	1:01	14	158
6/19/2016	bookmarks	Estonia	22	3:01	21	30
6/19/2016	images	Estonia	70	0:00	62	26
6/19/2016	all	Estonia	57	1:01	26	44
6/19/2016	blogs	Ethiopia	2	2:00	0	1
6/19/2016	microblogs	Ethiopia	100	6:00	10	166
6/19/2016	bookmarks	Ethiopia	16	8:00	14	24
6/19/2016	images	Ethiopia	81	2:01	65	28
6/19/2016	all	Ethiopia	45	7:01	56	21
6/19/2016	blogs	Fiji	1	2:00	0	1
6/19/2016	microblogs	Fiji	100	4:01	3	174
6/19/2016	bookmarks	Fiji	18	4:01	0	36
6/19/2016	images	Fiji	84	0:00	18	41
6/19/2016	all	Fiji	60	5:01	7	59
6/19/2016	blogs	Finland	2	2:00	0	1
6/19/2016	microblogs	Finland	NA	NA	NA	NA
6/19/2016	bookmarks	Finland	42	2:01	9	38
6/19/2016	images	Finland	100	0:00	66	34
6/19/2016	all	Finland	84	3:01	37	52
6/19/2016	blogs	France	6	0:00	0	3
6/19/2016	microblogs	France	NA	NA	NA	NA
6/19/2016	bookmarks	France	40	7:01	5	38
6/19/2016	images	France	100	4:00	55	45
6/19/2016	all	France	100	22:01	27	75
6/19/2016	blogs	Gabon	6	1:00	0	6
6/19/2016	microblogs	Gabon	NA	NA	NA	NA
6/19/2016	bookmarks	Gabon	8	10:01	0	36
6/19/2016	images	Gabon	69	2:00	60	28
6/19/2016	all	Gabon	83	17:01	35	58
6/19/2016	blogs	Gambia	1	2:01	0	1
6/19/2016	microblogs	Gambia	100	14:01	15	142
6/19/2016	bookmarks	Gambia	4	1:03	18	26
6/19/2016	images	Gambia	100	1:00	67	54
6/19/2016	all	Gambia	68	4:01	39	45
6/19/2016	blogs	Georgia	11	1:00	0	6
6/19/2016	microblogs	Georgia	100	15:00	5	140
6/19/2016	bookmarks	Georgia	36	5:00	16	30
6/19/2016	images	Georgia	100	1:00	46	98
6/19/2016	all	Georgia	60	7:00	39	35
6/19/2016	blogs	Germany	6	1:00	0	0
6/19/2016	microblogs	Germany	100	9:01	8	152
6/19/2016	bookmarks	Germany	38	1:02	36	24
6/19/2016	images	Germany	100	2:00	80	40
6/19/2016	all	Germany	100	3:01	45	56
6/19/2016	blogs	Ghana	4	0:00	0	4
6/19/2016	microblogs	Ghana	100	5:01	13	148
6/19/2016	bookmarks	Ghana	12	8:01	23	32
6/19/2016	images	Ghana	58	2:00	60	22
6/19/2016	all	Ghana	33	10:01	47	21
6/19/2016	blogs	Greece	10	1:01	0	0
6/19/2016	microblogs	Greece	100	4:01	1	186
6/19/2016	bookmarks	Greece	44	4:01	9	40
6/19/2016	images	Greece	100	0:00	71	29
6/19/2016	all	Greece	100	3:01	37	68
6/19/2016	blogs	Grenada	2	1:00	0	2
6/19/2016	microblogs	Grenada	100	2:01	6	138
6/19/2016	bookmarks	Grenada	6	2:01	16	20
6/19/2016	images	Grenada	100	1:00	77	46
6/19/2016	all	Grenada	89	2:01	44	52
6/19/2016	blogs	Guatemala	4	0:00	25	3
6/19/2016	microblogs	Guatemala	100	0:00	17	122
6/19/2016	bookmarks	Guatemala	24	1:01	0	34
6/19/2016	images	Guatemala	84	3:00	54	38
6/19/2016	all	Guatemala	70	2:01	33	48
6/19/2016	blogs	Guinea	2	1:01	0	0
6/19/2016	microblogs	Guinea	100	9:01	16	88
6/19/2016	bookmarks	Guinea	30	9:01	16	30
6/19/2016	images	Guinea	100	4:01	24	76
6/19/2016	all	Guinea	78	6:01	22	61
6/19/2016	blogs	Guinea-Bissau	NA	NA	NA	NA
6/19/2016	microblogs	Guinea-Bissau	NA	NA	NA	NA
6/19/2016	bookmarks	Guinea-Bissau	2	2:00	0	6
6/19/2016	images	Guinea-Bissau	NA	NA	NA	NA
6/19/2016	all	Guinea-Bissau	2	2:00	0	6
6/19/2016	blogs	Guyana	4	2:00	0	3
6/19/2016	microblogs	Guyana	NA	NA	NA	NA
6/19/2016	bookmarks	Guyana	6	3:01	15	32
6/19/2016	images	Guyana	10	0:00	0	8
6/19/2016	all	Guyana	8	3:01	10	14
6/19/2016	blogs	Haiti	3	1:02	0	2
6/19/2016	microblogs	Haiti	100	5:01	3	166
6/19/2016	bookmarks	Haiti	14	4:01	20	24
6/19/2016	images	Haiti	90	0:01	29	47
6/19/2016	all	Haiti	39	1:01	27	31
6/19/2016	blogs	Honduras	4	0:01	25	3
6/19/2016	microblogs	Honduras	100	6:00	3	150
6/19/2016	bookmarks	Honduras	14	1:01	22	34
6/19/2016	images	Honduras	100	3:00	47	104
6/19/2016	all	Honduras	55	1:01	42	36
6/19/2016	blogs	Hungary	4	2:00	0	1
6/19/2016	microblogs	Hungary	NA	NA	NA	NA
6/19/2016	bookmarks	Hungary	38	4:01	15	32
6/19/2016	images	Hungary	100	0:00	75	50
6/19/2016	all	Hungary	87	4:01	39	52
6/19/2016	blogs	Iceland	7	3:00	0	2
6/19/2016	microblogs	Iceland	100	4:01	0	194
6/19/2016	bookmarks	Iceland	34	6:00	11	30
6/19/2016	images	Iceland	66	1:00	41	37
6/19/2016	all	Iceland	74	7:01	15	61
6/19/2016	blogs	India	13	3:00	0	5
6/19/2016	microblogs	India	NA	NA	NA	NA
6/19/2016	bookmarks	India	38	1:01	15	32
6/19/2016	images	India	100	3:00	65	35
6/19/2016	all	India	66	3:01	54	28
6/19/2016	blogs	Indonesia	7	1:00	0	4
6/19/2016	microblogs	Indonesia	100	1:01	4	158
6/19/2016	bookmarks	Indonesia	32	3:01	18	26
6/19/2016	images	Indonesia	100	58:00:00	81	19
6/19/2016	all	Indonesia	61	33:01:00	69	18
6/19/2016	blogs	Iran	8	1:01	0	2
6/19/2016	microblogs	Iran	NA	NA	NA	NA
6/19/2016	bookmarks	Iran	34	1:02	23	26
6/19/2016	images	Iran	100	0:01	91	9
6/19/2016	all	Iran	77	1:01	56	33
6/19/2016	blogs	Iraq	14	4:01	0	0
6/19/2016	microblogs	Iraq	100	3:01	10	156
6/19/2016	bookmarks	Iraq	38	1:03	26	28
6/19/2016	images	Iraq	100	3:01	42	57
6/19/2016	all	Iraq	100	2:01	27	76
6/19/2016	blogs	Ireland	9	2:01	0	4
6/19/2016	microblogs	Ireland	100	7:01	3	166
6/19/2016	bookmarks	Ireland	42	10:00	4	40
6/19/2016	images	Ireland	100	2:00	53	94
6/19/2016	all	Ireland	88	9:01	27	63
6/19/2016	blogs	Israel	15	4:00	0	3
6/19/2016	microblogs	Israel	100	4:01	11	150
6/19/2016	bookmarks	Israel	42	0:03	14	36
6/19/2016	images	Israel	100	0:01	35	65
6/19/2016	all	Israel	68	1:01	30	43
6/19/2016	blogs	Italy	6	3:01	0	1
6/19/2016	microblogs	Italy	72	2:01	2	70
6/19/2016	bookmarks	Italy	42	8:00	4	40
6/19/2016	images	Italy	100	0:00	78	44
6/19/2016	all	Italy	63	7:01	51	30
6/19/2016	blogs	Ivory Coast	6	0:00	16	5
6/19/2016	microblogs	Ivory Coast	100	2:01	14	168
6/19/2016	bookmarks	Ivory Coast	6	4:01	19	34
6/19/2016	images	Ivory Coast	97	0:01	60	38
6/19/2016	all	Ivory Coast	82	2:01	34	58
6/19/2016	blogs	Jamaica	13	1:01	0	4
6/19/2016	microblogs	Jamaica	NA	NA	NA	NA
6/19/2016	bookmarks	Jamaica	26	13:00	5	38
6/19/2016	images	Jamaica	100	2:00	34	66
6/19/2016	all	Jamaica	63	5:01	28	45
6/19/2016	blogs	Japan	11	4:01	0	6
6/19/2016	microblogs	Japan	NA	NA	NA	NA
6/19/2016	bookmarks	Japan	26	5:01	0	26
6/19/2016	images	Japan	100	1:00	72	56
6/19/2016	all	Japan	91	5:01	43	50
6/19/2016	blogs	Jordan	4	0:00	0	2
6/19/2016	microblogs	Jordan	NA	NA	NA	NA
6/19/2016	bookmarks	Jordan	42	11:01	9	38
6/19/2016	images	Jordan	100	1:00	47	106
6/19/2016	all	Jordan	73	22:01	28	52
6/19/2016	blogs	Kazakhstan	6	4:01	0	3
6/19/2016	microblogs	Kazakhstan	100	9:01	12	134
6/19/2016	bookmarks	Kazakhstan	42	4:01	22	34
6/19/2016	images	Kazakhstan	98	0:00	67	31
6/19/2016	all	Kazakhstan	80	6:01	39	48
6/19/2016	blogs	Kenya	8	2:01	33	4
6/19/2016	microblogs	Kenya	100	14:01	7	156
6/19/2016	bookmarks	Kenya	34	2:01	23	26
6/19/2016	images	Kenya	100	3:00	62	38
6/19/2016	all	Kenya	63	2:01	55	28
6/19/2016	blogs	Kiribati	2	1:00	0	2
6/19/2016	microblogs	Kiribati	100	1:00	53	82
6/19/2016	bookmarks	Kiribati	2	4:00	33	12
6/19/2016	images	Kiribati	100	1:00	27	100
6/19/2016	all	Kiribati	48	6:00	27	38
6/19/2016	blogs	Kuwait	5	2:00	0	4
6/19/2016	microblogs	Kuwait	NA	NA	NA	NA
6/19/2016	bookmarks	Kuwait	24	2:01	5	32
6/19/2016	images	Kuwait	100	0:00	97	3
6/19/2016	all	Kuwait	59	2:01	80	12
6/19/2016	blogs	Kyrgyzstan	3	1:00	0	3
6/19/2016	microblogs	Kyrgyzstan	100	3:00	35	78
6/19/2016	bookmarks	Kyrgyzstan	2	3:00	0	18
6/19/2016	images	Kyrgyzstan	100	1:01	57	80
6/19/2016	all	Kyrgyzstan	64	8:01	45	37
6/19/2016	blogs	Laos	1	0:00	0	1
6/19/2016	microblogs	Laos	NA	NA	NA	NA
6/19/2016	bookmarks	Laos	12	1:01	7	26
6/19/2016	images	Laos	89	0:00	72	24
6/19/2016	all	Laos	48	1:01	63	19
6/19/2016	blogs	Latvia	1	1:00	0	1
6/19/2016	microblogs	Latvia	100	8:01	6	178
6/19/2016	bookmarks	Latvia	24	4:01	0	42
6/19/2016	images	Latvia	100	0:00	91	9
6/19/2016	all	Latvia	57	4:01	74	16
6/19/2016	blogs	Lebanon	2	0:00	50	1
6/19/2016	microblogs	Lebanon	NA	NA	NA	NA
6/19/2016	bookmarks	Lebanon	28	7:01	0	34
6/19/2016	images	Lebanon	100	3:01	55	44
6/19/2016	all	Lebanon	76	5:01	47	41
6/19/2016	blogs	Lesotho	2	1:00	0	2
6/19/2016	microblogs	Lesotho	100	15:01	14	152
6/19/2016	bookmarks	Lesotho	2	2:01	14	12
6/19/2016	images	Lesotho	100	1:00	74	25
6/19/2016	all	Lesotho	76	7:01	44	44
6/19/2016	blogs	Liberia	0	1:00	0	0
6/19/2016	microblogs	Liberia	100	2:01	12	150
6/19/2016	bookmarks	Liberia	14	6:01	15	32
6/19/2016	images	Liberia	61	0:00	81	11
6/19/2016	all	Liberia	77	4:01	37	52
6/19/2016	blogs	Libya	1	1:00	0	1
6/19/2016	microblogs	Libya	100	1:02	10	122
6/19/2016	bookmarks	Libya	36	4:01	9	38
6/19/2016	images	Libya	79	5:00	69	20
6/19/2016	all	Libya	42	7:01	54	20
6/19/2016	blogs	Liechtenstein	1	2:00	0	1
6/19/2016	microblogs	Liechtenstein	100	4:01	9	120
6/19/2016	bookmarks	Liechtenstein	6	3:01	8	22
6/19/2016	images	Liechtenstein	100	0:00	99	1
6/19/2016	all	Liechtenstein	69	4:01	58	30
6/19/2016	blogs	Lithuania	3	3:00	0	3
6/19/2016	microblogs	Lithuania	100	6:01	9	166
6/19/2016	bookmarks	Lithuania	26	7:01	10	36
6/19/2016	images	Lithuania	87	0:00	73	22
6/19/2016	all	Lithuania	77	7:01	36	51
6/19/2016	blogs	Luxembourg	3	4:00	50	1
6/19/2016	microblogs	Luxembourg	NA	NA	NA	NA
6/19/2016	bookmarks	Luxembourg	24	7:01	13	38
6/19/2016	images	Luxembourg	100	0:00	89	18
6/19/2016	all	Luxembourg	50	9:01	73	15
6/19/2016	blogs	Macedonia	1	1:00	0	1
6/19/2016	microblogs	Macedonia	100	30:00:00	4	188
6/19/2016	bookmarks	Macedonia	6	3:01	5	38
6/19/2016	images	Macedonia	100	0:00	92	16
6/19/2016	all	Macedonia	81	19:01	44	49
6/19/2016	blogs	Madagascar	2	2:00	0	2
6/19/2016	microblogs	Madagascar	NA	NA	NA	NA
6/19/2016	bookmarks	Madagascar	12	2:01	10	36
6/19/2016	images	Madagascar	100	0:00	58	41
6/19/2016	all	Madagascar	81	3:01	30	61
6/19/2016	blogs	Malawi	1	0:00	0	1
6/19/2016	microblogs	Malawi	100	3:01	7	168
6/19/2016	bookmarks	Malawi	10	2:01	22	28
6/19/2016	images	Malawi	61	0:00	64	15
6/19/2016	all	Malawi	56	3:01	25	46
6/19/2016	blogs	Malaysia	9	6:01	16	5
6/19/2016	microblogs	Malaysia	NA	NA	NA	NA
6/19/2016	bookmarks	Malaysia	40	3:01	15	34
6/19/2016	images	Malaysia	100	3:01	53	47
6/19/2016	all	Malaysia	90	3:01	31	61
6/19/2016	blogs	Maldives	3	0:01	0	3
6/19/2016	microblogs	Maldives	100	14:01	6	188
6/19/2016	bookmarks	Maldives	4	3:01	14	24
6/19/2016	images	Maldives	53	1:00	60	20
