"Date"	"Source"	"Term"	"Strength"	"Sentiment"	"Passion"	"Reach"
2016-06-27	"all"	"Azerbaijan"	"55"	"6:0"	"72"	"16"
2016-06-27	"blogs"	"Bahamas"	"8"	"5:0"	"0"	"2"
2016-06-27	"microblogs"	"Bahamas"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Bahamas"	"14"	"3:1"	"0"	"36"
2016-06-27	"images"	"Bahamas"	"100"	"1:0"	"38"	"116"
2016-06-27	"all"	"Bahamas"	"70"	"5:1"	"17"	"59"
2016-06-27	"blogs"	"Bahrain"	"9"	"2:1"	"0"	"3"
2016-06-27	"microblogs"	"Bahrain"	"100"	"1:0"	"19"	"146"
2016-06-27	"bookmarks"	"Bahrain"	"16"	"2:0"	"10"	"36"
2016-06-27	"images"	"Bahrain"	"100"	"1:0"	"77"	"22"
2016-06-27	"all"	"Bahrain"	"48"	"5:1"	"64"	"18"
2016-06-27	"blogs"	"Bangladesh"	"10"	"1:0"	"0"	"2"
2016-06-27	"microblogs"	"Bangladesh"	"100"	"2:0"	"1"	"142"
2016-06-27	"bookmarks"	"Bangladesh"	"20"	"4:0"	"0"	"38"
2016-06-27	"images"	"Bangladesh"	"71"	"2:0"	"56"	"22"
2016-06-27	"all"	"Bangladesh"	"49"	"8:0"	"20"	"38"
2016-06-27	"blogs"	"Barbados"	"10"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Barbados"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Barbados"	"8"	"3:1"	"19"	"34"
2016-06-27	"images"	"Barbados"	"100"	"1:0"	"62"	"37"
2016-06-27	"all"	"Barbados"	"72"	"8:1"	"38"	"45"
2016-06-27	"blogs"	"Belarus"	"8"	"5:0"	"0"	"2"
2016-06-27	"microblogs"	"Belarus"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Belarus"	"14"	"3:1"	"19"	"34"
2016-06-27	"images"	"Belarus"	"100"	"0:0"	"88"	"11"
2016-06-27	"all"	"Belarus"	"58"	"6:1"	"52"	"29"
2016-06-27	"blogs"	"Belgium"	"7"	"1:2"	"0"	"1"
2016-06-27	"microblogs"	"Belgium"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Belgium"	"44"	"5:1"	"0"	"44"
2016-06-27	"images"	"Belgium"	"100"	"1:0"	"73"	"54"
2016-06-27	"all"	"Belgium"	"78"	"4:1"	"34"	"49"
2016-06-27	"blogs"	"Belize"	"4"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Belize"	"100"	"5:0"	"3"	"184"
2016-06-27	"bookmarks"	"Belize"	"6"	"7:0"	"11"	"32"
2016-06-27	"images"	"Belize"	"87"	"3:0"	"63"	"31"
2016-06-27	"all"	"Belize"	"64"	"17:1"	"29"	"48"
2016-06-27	"blogs"	"Benin"	"7"	"2:0"	"0"	"2"
2016-06-27	"microblogs"	"Benin"	"100"	"21:1"	"3"	"112"
2016-06-27	"bookmarks"	"Benin"	"0"	"3:1"	"0"	"10"
2016-06-27	"images"	"Benin"	"100"	"0:0"	"36"	"58"
2016-06-27	"all"	"Benin"	"63"	"13:1"	"22"	"49"
2016-06-27	"blogs"	"Bhutan"	"7"	"1:0"	"0"	"3"
2016-06-27	"microblogs"	"Bhutan"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Bhutan"	"8"	"6:1"	"11"	"30"
2016-06-27	"images"	"Bhutan"	"79"	"2:0"	"82"	"13"
2016-06-27	"all"	"Bhutan"	"42"	"7:1"	"66"	"16"
2016-06-27	"blogs"	"Bolivia"	"8"	"1:2"	"0"	"2"
2016-06-27	"microblogs"	"Bolivia"	"100"	"1:0"	"7"	"172"
2016-06-27	"bookmarks"	"Bolivia"	"14"	"2:1"	"4"	"40"
2016-06-27	"images"	"Bolivia"	"46"	"1:0"	"69"	"13"
2016-06-27	"all"	"Bolivia"	"25"	"2:1"	"46"	"15"
2016-06-27	"blogs"	"Bosnia and Herzegovina"	"16"	"0:0"	"0"	"0"
2016-06-27	"microblogs"	"Bosnia and Herzegovina"	"68"	"2:1"	"36"	"44"
2016-06-27	"bookmarks"	"Bosnia and Herzegovina"	"68"	"2:1"	"36"	"44"
2016-06-27	"images"	"Bosnia and Herzegovina"	"68"	"2:1"	"36"	"44"
2016-06-27	"all"	"Bosnia and Herzegovina"	"68"	"2:1"	"36"	"44"
2016-06-27	"blogs"	"Botswana"	"11"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Botswana"	"100"	"7:0"	"18"	"154"
2016-06-27	"bookmarks"	"Botswana"	"8"	"1:3"	"19"	"34"
2016-06-27	"images"	"Botswana"	"94"	"1:0"	"61"	"35"
2016-06-27	"all"	"Botswana"	"69"	"1:2"	"53"	"35"
2016-06-27	"blogs"	"Brazil"	"14"	"6:0"	"0"	"2"
2016-06-27	"microblogs"	"Brazil"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Brazil"	"38"	"5:1"	"5"	"36"
2016-06-27	"images"	"Brazil"	"100"	"0:0"	"31"	"128"
2016-06-27	"all"	"Brazil"	"78"	"24:1"	"19"	"58"
2016-06-27	"blogs"	"Brunei"	"6"	"0:1"	"0"	"0"
2016-06-27	"microblogs"	"Brunei"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Brunei"	"16"	"5:1"	"12"	"28"
2016-06-27	"images"	"Brunei"	"100"	"0:0"	"73"	"48"
2016-06-27	"all"	"Brunei"	"81"	"1:1"	"37"	"51"
2016-06-27	"blogs"	"Bulgaria"	"9"	"1:0"	"0"	"0"
2016-06-27	"microblogs"	"Bulgaria"	"100"	"3:1"	"6"	"164"
2016-06-27	"bookmarks"	"Bulgaria"	"38"	"1:1"	"10"	"34"
2016-06-27	"images"	"Bulgaria"	"77"	"2:0"	"53"	"31"
2016-06-27	"all"	"Bulgaria"	"48"	"2:1"	"44"	"24"
2016-06-27	"blogs"	"Burkina"	"5"	"2:0"	"0"	"1"
2016-06-27	"microblogs"	"Burkina"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Burkina"	"0"	"0:2"	"16"	"10"
2016-06-27	"images"	"Burkina"	"98"	"0:0"	"63"	"35"
2016-06-27	"all"	"Burkina"	"42"	"1:1"	"60"	"17"
2016-06-27	"blogs"	"Burundi"	"9"	"0:0"	"0"	"1"
2016-06-27	"microblogs"	"Burundi"	"100"	"3:1"	"40"	"110"
2016-06-27	"bookmarks"	"Burundi"	"0"	"2:1"	"0"	"16"
2016-06-27	"images"	"Burundi"	"100"	"2:0"	"62"	"54"
2016-06-27	"all"	"Burundi"	"70"	"3:1"	"48"	"36"
2016-06-27	"blogs"	"Cambodia"	"8"	"5:1"	"0"	"3"
2016-06-27	"microblogs"	"Cambodia"	"100"	"12:0"	"16"	"164"
2016-06-27	"bookmarks"	"Cambodia"	"32"	"3:1"	"5"	"36"
2016-06-27	"images"	"Cambodia"	"100"	"0:0"	"97"	"6"
2016-06-27	"all"	"Cambodia"	"51"	"3:1"	"79"	"10"
2016-06-27	"blogs"	"Cameroon"	"10"	"2:0"	"0"	"2"
2016-06-27	"microblogs"	"Cameroon"	"100"	"0:0"	"0"	"200"
2016-06-27	"bookmarks"	"Cameroon"	"6"	"1:1"	"15"	"34"
2016-06-27	"images"	"Cameroon"	"100"	"1:0"	"34"	"126"
2016-06-27	"all"	"Cameroon"	"45"	"2:1"	"29"	"34"
2016-06-27	"blogs"	"Canada"	"12"	"3:1"	"0"	"2"
2016-06-27	"microblogs"	"Canada"	"100"	"13:0"	"4"	"140"
2016-06-27	"bookmarks"	"Canada"	"42"	"2:1"	"0"	"42"
2016-06-27	"images"	"Canada"	"100"	"2:0"	"59"	"41"
2016-06-27	"all"	"Canada"	"56"	"2:1"	"47"	"26"
2016-06-27	"blogs"	"Cape Verde"	"7"	"6:0"	"0"	"6"
2016-06-27	"microblogs"	"Cape Verde"	"54"	"4:1"	"25"	"37"
2016-06-27	"bookmarks"	"Cape Verde"	"54"	"4:1"	"25"	"37"
2016-06-27	"images"	"Cape Verde"	"54"	"4:1"	"25"	"37"
2016-06-27	"all"	"Cape Verde"	"54"	"4:1"	"25"	"37"
2016-06-27	"blogs"	"Central African Republic"	"10"	"0:2"	"14"	"4"
2016-06-27	"microblogs"	"Central African Republic"	"55"	"2:1"	"51"	"24"
2016-06-27	"bookmarks"	"Central African Republic"	"55"	"2:1"	"51"	"24"
2016-06-27	"images"	"Central African Republic"	"55"	"2:1"	"51"	"24"
2016-06-27	"all"	"Central African Republic"	"55"	"2:1"	"51"	"24"
2016-06-27	"blogs"	"Chad"	"6"	"0:2"	"0"	"2"
2016-06-27	"microblogs"	"Chad"	"100"	"5:1"	"6"	"150"
2016-06-27	"bookmarks"	"Chad"	"40"	"4:1"	"35"	"26"
2016-06-27	"images"	"Chad"	"100"	"19:0"	"65"	"31"
2016-06-27	"all"	"Chad"	"47"	"6:1"	"58"	"19"
2016-06-27	"blogs"	"Chile"	"16"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Chile"	"100"	"1:1"	"0"	"194"
2016-06-27	"bookmarks"	"Chile"	"40"	"3:1"	"0"	"40"
2016-06-27	"images"	"Chile"	"78"	"4:0"	"26"	"50"
2016-06-27	"all"	"Chile"	"45"	"3:1"	"20"	"29"
2016-06-27	"blogs"	"China"	"12"	"1:0"	"0"	"2"
2016-06-27	"microblogs"	"China"	"100"	"2:1"	"6"	"170"
2016-06-27	"bookmarks"	"China"	"20"	"1:0"	"40"	"12"
2016-06-27	"images"	"China"	"100"	"4:0"	"65"	"35"
2016-06-27	"all"	"China"	"72"	"4:1"	"36"	"43"
2016-06-27	"blogs"	"Colombia"	"9"	"2:0"	"16"	"4"
2016-06-27	"microblogs"	"Colombia"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Colombia"	"42"	"2:1"	"14"	"36"
2016-06-27	"images"	"Colombia"	"75"	"0:0"	"33"	"46"
2016-06-27	"all"	"Colombia"	"65"	"2:1"	"18"	"51"
2016-06-27	"blogs"	"Comoros"	"1"	"0:1"	"0"	"1"
2016-06-27	"microblogs"	"Comoros"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Comoros"	"2"	"2:1"	"0"	"6"
2016-06-27	"images"	"Comoros"	"100"	"0:0"	"92"	"14"
2016-06-27	"all"	"Comoros"	"77"	"1:2"	"50"	"39"
2016-06-27	"blogs"	"Congo"	"8"	"5:0"	"0"	"1"
2016-06-27	"microblogs"	"Congo"	"100"	"15:1"	"7"	"178"
2016-06-27	"bookmarks"	"Congo"	"28"	"3:1"	"13"	"38"
2016-06-27	"images"	"Congo"	"100"	"0:1"	"76"	"23"
2016-06-27	"all"	"Congo"	"74"	"6:1"	"39"	"44"
2016-06-27	"blogs"	"Democratic Republic of Congo"	"12"	"4:1"	"0"	"6"
2016-06-27	"microblogs"	"Democratic Republic of Congo"	"77"	"2:1"	"17"	"59"
2016-06-27	"bookmarks"	"Democratic Republic of Congo"	"77"	"2:1"	"17"	"59"
2016-06-27	"images"	"Democratic Republic of Congo"	"77"	"2:1"	"17"	"59"
2016-06-27	"all"	"Democratic Republic of Congo"	"77"	"2:1"	"17"	"59"
2016-06-27	"blogs"	"Costa Rica"	"10"	"2:1"	"0"	"4"
2016-06-27	"microblogs"	"Costa Rica"	"54"	"3:1"	"51"	"25"
2016-06-27	"bookmarks"	"Costa Rica"	"54"	"3:1"	"51"	"25"
2016-06-27	"images"	"Costa Rica"	"54"	"3:1"	"51"	"25"
2016-06-27	"all"	"Costa Rica"	"54"	"3:1"	"51"	"25"
2016-06-27	"blogs"	"Croatia"	"6"	"0:1"	"0"	"2"
2016-06-27	"microblogs"	"Croatia"	"100"	"1:2"	"2"	"190"
2016-06-27	"bookmarks"	"Croatia"	"42"	"3:1"	"0"	"42"
2016-06-27	"images"	"Croatia"	"100"	"2:0"	"59"	"28"
2016-06-27	"all"	"Croatia"	"40"	"2:1"	"44"	"21"
2016-06-27	"blogs"	"Cuba"	"14"	"5:1"	"0"	"2"
2016-06-27	"microblogs"	"Cuba"	"100"	"4:0"	"17"	"160"
2016-06-27	"bookmarks"	"Cuba"	"32"	"1:1"	"12"	"28"
2016-06-27	"images"	"Cuba"	"100"	"1:2"	"57"	"43"
2016-06-27	"all"	"Cuba"	"78"	"3:1"	"35"	"47"
2016-06-27	"blogs"	"Cyprus"	"10"	"4:1"	"0"	"0"
2016-06-27	"microblogs"	"Cyprus"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Cyprus"	"30"	"2:1"	"5"	"36"
2016-06-27	"images"	"Cyprus"	"100"	"4:0"	"80"	"19"
2016-06-27	"all"	"Cyprus"	"61"	"4:1"	"68"	"19"
2016-06-27	"blogs"	"Czech Republic"	"6"	"1:0"	"0"	"1"
2016-06-27	"microblogs"	"Czech Republic"	"44"	"9:1"	"47"	"20"
2016-06-27	"bookmarks"	"Czech Republic"	"44"	"9:1"	"47"	"20"
2016-06-27	"images"	"Czech Republic"	"44"	"9:1"	"47"	"20"
2016-06-27	"all"	"Czech Republic"	"44"	"9:1"	"47"	"20"
2016-06-27	"blogs"	"Denmark"	"8"	"2:1"	"25"	"2"
2016-06-27	"microblogs"	"Denmark"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Denmark"	"44"	"2:1"	"4"	"42"
2016-06-27	"images"	"Denmark"	"100"	"0:0"	"75"	"25"
2016-06-27	"all"	"Denmark"	"76"	"2:1"	"35"	"47"
2016-06-27	"blogs"	"Djibouti"	"10"	"0:1"	"25"	"3"
2016-06-27	"microblogs"	"Djibouti"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Djibouti"	"6"	"1:2"	"25"	"30"
2016-06-27	"images"	"Djibouti"	"68"	"1:0"	"57"	"24"
2016-06-27	"all"	"Djibouti"	"35"	"1:2"	"47"	"21"
2016-06-27	"blogs"	"Dominica"	"3"	"2:0"	"0"	"1"
2016-06-27	"microblogs"	"Dominica"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Dominica"	"0"	"1:0"	"0"	"4"
2016-06-27	"images"	"Dominica"	"100"	"2:0"	"97"	"3"
2016-06-27	"all"	"Dominica"	"46"	"11:0"	"75"	"11"
2016-06-27	"blogs"	"Dominican Republic"	"7"	"3:1"	"0"	"1"
2016-06-27	"microblogs"	"Dominican Republic"	"88"	"4:1"	"34"	"56"
2016-06-27	"bookmarks"	"Dominican Republic"	"88"	"4:1"	"34"	"56"
2016-06-27	"images"	"Dominican Republic"	"88"	"4:1"	"34"	"56"
2016-06-27	"all"	"Dominican Republic"	"88"	"4:1"	"34"	"56"
2016-06-27	"blogs"	"East Timor"	"4"	"0:0"	"0"	"0"
2016-06-27	"microblogs"	"East Timor"	"74"	"5:1"	"42"	"40"
2016-06-27	"bookmarks"	"East Timor"	"74"	"5:1"	"42"	"40"
2016-06-27	"images"	"East Timor"	"74"	"5:1"	"42"	"40"
2016-06-27	"all"	"East Timor"	"74"	"5:1"	"42"	"40"
2016-06-27	"blogs"	"Ecuador"	"20"	"3:1"	"0"	"0"
2016-06-27	"microblogs"	"Ecuador"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Ecuador"	"34"	"4:1"	"4"	"40"
2016-06-27	"images"	"Ecuador"	"96"	"1:0"	"60"	"26"
2016-06-27	"all"	"Ecuador"	"87"	"4:1"	"29"	"59"
2016-06-27	"blogs"	"Egypt"	"8"	"1:1"	"33"	"2"
2016-06-27	"microblogs"	"Egypt"	"100"	"4:1"	"8"	"138"
2016-06-27	"bookmarks"	"Egypt"	"44"	"2:1"	"13"	"38"
2016-06-27	"images"	"Egypt"	"100"	"2:0"	"69"	"31"
2016-06-27	"all"	"Egypt"	"54"	"3:1"	"58"	"21"
2016-06-27	"blogs"	"El Salvador"	"12"	"4:1"	"16"	"4"
2016-06-27	"microblogs"	"El Salvador"	"78"	"2:1"	"21"	"56"
2016-06-27	"bookmarks"	"El Salvador"	"78"	"2:1"	"21"	"56"
2016-06-27	"images"	"El Salvador"	"78"	"2:1"	"21"	"56"
2016-06-27	"all"	"El Salvador"	"78"	"2:1"	"21"	"56"
2016-06-27	"blogs"	"Equatorial Guinea"	"7"	"0:0"	"0"	"3"
2016-06-27	"microblogs"	"Equatorial Guinea"	"82"	"10:1"	"21"	"68"
2016-06-27	"bookmarks"	"Equatorial Guinea"	"82"	"10:1"	"21"	"68"
2016-06-27	"images"	"Equatorial Guinea"	"82"	"10:1"	"21"	"68"
2016-06-27	"all"	"Equatorial Guinea"	"82"	"10:1"	"21"	"68"
2016-06-27	"blogs"	"Eritrea"	"6"	"0:2"	"0"	"0"
2016-06-27	"microblogs"	"Eritrea"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Eritrea"	"8"	"1:2"	"29"	"24"
2016-06-27	"images"	"Eritrea"	"100"	"0:0"	"19"	"80"
2016-06-27	"all"	"Eritrea"	"82"	"1:1"	"28"	"60"
2016-06-27	"blogs"	"Estonia"	"8"	"0:1"	"0"	"1"
2016-06-27	"microblogs"	"Estonia"	"100"	"10:1"	"9"	"174"
2016-06-27	"bookmarks"	"Estonia"	"18"	"5:1"	"19"	"34"
2016-06-27	"images"	"Estonia"	"70"	"0:0"	"62"	"26"
2016-06-27	"all"	"Estonia"	"51"	"5:1"	"21"	"40"
2016-06-27	"blogs"	"Ethiopia"	"7"	"1:2"	"0"	"1"
2016-06-27	"microblogs"	"Ethiopia"	"100"	"5:0"	"9"	"172"
2016-06-27	"bookmarks"	"Ethiopia"	"18"	"6:1"	"14"	"36"
2016-06-27	"images"	"Ethiopia"	"81"	"2:1"	"65"	"28"
2016-06-27	"all"	"Ethiopia"	"40"	"2:1"	"53"	"19"
2016-06-27	"blogs"	"Fiji"	"8"	"2:1"	"0"	"1"
2016-06-27	"microblogs"	"Fiji"	"100"	"0:0"	"2"	"190"
2016-06-27	"bookmarks"	"Fiji"	"8"	"11:1"	"5"	"36"
2016-06-27	"images"	"Fiji"	"84"	"0:0"	"18"	"41"
2016-06-27	"all"	"Fiji"	"54"	"5:1"	"7"	"52"
2016-06-27	"blogs"	"Finland"	"9"	"2:0"	"0"	"0"
2016-06-27	"microblogs"	"Finland"	"100"	"4:1"	"4"	"164"
2016-06-27	"bookmarks"	"Finland"	"42"	"1:1"	"4"	"40"
2016-06-27	"images"	"Finland"	"100"	"0:0"	"66"	"34"
2016-06-27	"all"	"Finland"	"85"	"1:1"	"55"	"36"
2016-06-27	"blogs"	"France"	"12"	"6:0"	"0"	"2"
2016-06-27	"microblogs"	"France"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"France"	"42"	"1:1"	"19"	"34"
2016-06-27	"images"	"France"	"100"	"4:0"	"55"	"45"
2016-06-27	"all"	"France"	"56"	"4:1"	"47"	"26"
2016-06-27	"blogs"	"Gabon"	"6"	"0:0"	"0"	"0"
2016-06-27	"microblogs"	"Gabon"	"100"	"15:0"	"36"	"122"
2016-06-27	"bookmarks"	"Gabon"	"2"	"1:1"	"14"	"36"
2016-06-27	"images"	"Gabon"	"100"	"2:0"	"60"	"54"
2016-06-27	"all"	"Gabon"	"70"	"7:1"	"43"	"43"
2016-06-27	"blogs"	"Gambia"	"8"	"2:1"	"0"	"2"
2016-06-27	"microblogs"	"Gambia"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Gambia"	"2"	"0:3"	"28"	"10"
2016-06-27	"images"	"Gambia"	"100"	"1:0"	"67"	"54"
2016-06-27	"all"	"Gambia"	"64"	"3:1"	"45"	"34"
2016-06-27	"blogs"	"Georgia"	"12"	"3:1"	"0"	"2"
2016-06-27	"microblogs"	"Georgia"	"100"	"6:1"	"1"	"130"
2016-06-27	"bookmarks"	"Georgia"	"38"	"12:1"	"5"	"36"
2016-06-27	"images"	"Georgia"	"100"	"1:0"	"46"	"98"
2016-06-27	"all"	"Georgia"	"51"	"8:1"	"38"	"28"
2016-06-27	"blogs"	"Germany"	"11"	"3:0"	"0"	"2"
2016-06-27	"microblogs"	"Germany"	"100"	"2:1"	"2"	"164"
2016-06-27	"bookmarks"	"Germany"	"44"	"1:1"	"22"	"34"
2016-06-27	"images"	"Germany"	"100"	"2:0"	"80"	"40"
2016-06-27	"all"	"Germany"	"56"	"4:1"	"68"	"16"
2016-06-27	"blogs"	"Ghana"	"11"	"5:1"	"33"	"3"
2016-06-27	"microblogs"	"Ghana"	"100"	"12:0"	"7"	"176"
2016-06-27	"bookmarks"	"Ghana"	"14"	"3:1"	"9"	"38"
2016-06-27	"images"	"Ghana"	"58"	"2:0"	"60"	"22"
2016-06-27	"all"	"Ghana"	"32"	"4:1"	"46"	"18"
2016-06-27	"blogs"	"Greece"	"10"	"3:1"	"0"	"2"
2016-06-27	"microblogs"	"Greece"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Greece"	"44"	"1:2"	"31"	"30"
2016-06-27	"images"	"Greece"	"100"	"0:0"	"71"	"29"
2016-06-27	"all"	"Greece"	"78"	"6:1"	"35"	"48"
2016-06-27	"blogs"	"Grenada"	"5"	"1:0"	"0"	"0"
2016-06-27	"microblogs"	"Grenada"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Grenada"	"0"	"1:2"	"0"	"12"
2016-06-27	"images"	"Grenada"	"100"	"1:0"	"77"	"46"
2016-06-27	"all"	"Grenada"	"53"	"2:1"	"72"	"15"
2016-06-27	"blogs"	"Guatemala"	"8"	"5:0"	"0"	"2"
2016-06-27	"microblogs"	"Guatemala"	"100"	"1:1"	"7"	"178"
2016-06-27	"bookmarks"	"Guatemala"	"8"	"13:1"	"10"	"34"
2016-06-27	"images"	"Guatemala"	"84"	"3:0"	"54"	"38"
2016-06-27	"all"	"Guatemala"	"65"	"11:1"	"26"	"49"
2016-06-27	"blogs"	"Guinea"	"12"	"1:2"	"0"	"3"
2016-06-27	"microblogs"	"Guinea"	"100"	"2:1"	"5"	"162"
2016-06-27	"bookmarks"	"Guinea"	"36"	"2:1"	"5"	"36"
2016-06-27	"images"	"Guinea"	"100"	"4:1"	"24"	"76"
2016-06-27	"all"	"Guinea"	"54"	"3:1"	"20"	"40"
2016-06-27	"blogs"	"Guinea-Bissau"	"2"	"1:0"	"0"	"0"
2016-06-27	"microblogs"	"Guinea-Bissau"	"38"	"1:0"	"30"	"60"
2016-06-27	"bookmarks"	"Guinea-Bissau"	"0"	"0:1"	"0"	"2"
2016-06-27	"images"	"Guinea-Bissau"	NA	NA	NA	NA
2016-06-27	"all"	"Guinea-Bissau"	"1"	"1:1"	"0"	"1"
2016-06-27	"blogs"	"Guyana"	"12"	"0:0"	"28"	"4"
2016-06-27	"microblogs"	"Guyana"	NA	NA	NA	NA
2016-06-27	"bookmarks"	"Guyana"	"8"	"5:1"	"20"	"32"
2016-06-27	"images"	"Guyana"	"10"	"0:0"	"0"	"8"
2016-06-27	"all"	"Guyana"	"12"	"5:1"	"17"	"12"
2016-06-27	"blogs"	"Haiti"	"7"	"1:1"	"0"	"2"
2016-06-27	"microblogs"	"Haiti"	"100"	"8:0"	"1"	"128"
2016-06-27	"bookmarks"	"Haiti"	"10"	"1:1"	"10"	"34"
2016-06-27	"images"	"Haiti"	"90"	"0:1"	"29"	"47"
2016-06-27	"all"	"Haiti"	"50"	"3:1"	"14"	"44"
2016-06-27	"blogs"	"Honduras"	"6"	"4:0"	"0"	"1"
2016-06-27	"microblogs"	"Honduras"	"100"	"0:0"	"2"	"196"
2016-06-27	"bookmarks"	"Honduras"	"8"	"5:1"	"19"	"34"
2016-06-27	"images"	"Honduras"	"100"	"3:0"	"47"	"104"
2016-06-27	"all"	"Honduras"	"85"	"9:1"	"23"	"68"
2016-06-27	"blogs"	"Hungary"	"8"	"0:0"	"0"	"2"
