Afar	Qafár af	aa
Armenian	Հայերեն	hy
Herero	Otsiherero	hz
Interlingua	interlingua	ia
Indonesian	Bahasa Indonesia	id
Interlingue	Interlingue	ie
Igbo	Igbo	ig
Nuosu	ꆇꉙ	ii
Inupiak	Iñupiak	ik
Ilokano	Ilokano	ilo
Ido	Ido	io
Icelandic	íslenska	is
Italian	italiano	it
Inuktitut	ᐃᓄᒃᑎᑐᑦ/inuktitut	iu
Japanese	日本語	ja
Jamaican Patois	Patois	jam
Lojban	la .lojban.	jbo
Javanese	Basa Jawa	jv
Georgian	ქართული	ka
Karakalpak	Qaraqalpaqsha	kaa
Kabyle	Taqbaylit	kab
Kabardian	Адыгэбзэ	kbd
Kongo	Kongo	kg
Kikuyu	Gĩkũyũ	ki
Kuanyama	Kwanyama	kj
Kazakh	қазақша	kk
Greenlandic	kalaallisut	kl
Khmer	ភាសាខ្មែរ	km
Kannada	ಕನ್ನಡ	kn
Korean	한국어	ko
Komi-Permyak	Перем Коми	koi
Kanuri	Kanuri	kr
Karachay-Balkar	къарачай-малкъар	krc
Kashmiri	कॉशुर / کٲشُر	ks
Ripuarian	Ripoarisch	ksh
Kurdish (Kurmanji)	Kurdî	ku
Komi	коми	kv
Cornish	kernowek	kw
Kirghiz	Кыргызча	ky
Latin	Latina	la
Ladino	Ladino	lad
Luxembourgish	Lëtzebuergesch	lb
Lak	лакку	lbe
Lezgian	лезги	lez
Luganda	Luganda	lg
Limburgish	Limburgs	li
Ligurian	Ligure	lij
Lombard	lumbaart	lmo
Lingala	lingála	ln
Lao	ລາວ	lo
Northern Luri	لۊری شومالی	lrc
Lithuanian	lietuvių	lt
Latgalian	latgaļu	ltg
Latvian	latviešu	lv
Maithili	मैथिली	mai
Banyumasan	Basa Banyumasan	map-bms
Moksha	мокшень	mdf
Malagasy	Malagasy	mg
Marshallese	Ebon	mh
Meadow Mari	олык марий	mhr
Maori	Māori	mi
Minangkabau	Baso Minangkabau	min
Macedonian	македонски	mk
Malayalam	മലയാളം	ml
Mongolian	монгол	mn
Moldovan	молдовеняскэ	mo
Marathi	मराठी	mr
Hill Mari	кырык мары	mrj
Malay	Bahasa Melayu	ms
Maltese	Malti	mt
Muscogee	Mvskoke	mus
Mirandese	Mirandés	mwl
Burmese	မြန်မာဘာသာ	my
Erzya	эрзянь	myv
Mazandarani	مازِرونی	mzn
Nauruan	Dorerin Naoero	na
Nahuatl	Nāhuatl	nah
Neapolitan	Napulitano	nap
Low Saxon	Plattdüütsch	nds
Dutch Low Saxon	Nedersaksies	nds-nl
Nepali	नेपाली	ne
Newar	नेपाल भाषा	new
Ndonga	Oshiwambo	ng
Dutch	Nederlands	nl
Norwegian (Nynorsk)	norsk nynorsk	nn
Norwegian (Bokmål)	norsk bokmål	no
Novial	Novial	nov
Norman	Nouormand	nrm
Northern Sotho	Sesotho sa Leboa	nso
Navajo	Diné bizaad	nv
Chichewa	Chi-Chewa	ny
Occitan	occitan	oc
Oromo	Oromoo	om
Oriya	ଓଡ଼ିଆ	or
Ossetian	Ирон	os
Punjabi	ਪੰਜਾਬੀ	pa
Pangasinan	Pangasinan	pag
Kapampangan	Kapampangan	pam
Papiamentu	Papiamentu	pap
Picard	Picard	pcd
Pennsylvania German	Deitsch	pdc
Palatinate German	Pälzisch	pfl
Pali	पालि	pi
Norfolk	Norfuk / Pitkern	pih
Polish	polski	pl
Piedmontese	Piemontèis	pms
Western Punjabi	پنجابی	pnb
Pontic	Ποντιακά	pnt
Pashto	پښتو	ps
Portuguese	português	pt
Quechua	Runa Simi	qu
Romansh	rumantsch	rm
Romani	Romani	rmy
Kirundi	Kirundi	rn
Romanian	română	ro
Aromanian	armãneashti	roa-rup
Tarantino	tarandíne	roa-tara
Russian	русский	ru
Rusyn	русиньскый	rue
Kinyarwanda	Kinyarwanda	rw
Sanskrit	संस्कृतम्	sa
Sakha	саха тыла	sah
Sardinian	sardu	sc
Sicilian	sicilianu	scn
Scots	Scots	sco
Sindhi	سنڌي	sd
Northern Sami	sámegiella	se
Sango	Sängö	sg
Serbo-Croatian	srpskohrvatski / српскохрватски	sh
Sinhalese	සිංහල	si
Simple English	Simple English	simple
Slovak	slovenčina	sk
Slovenian	slovenščina	sl
Samoan	Gagana Samoa	sm
Shona	chiShona	sn
Somali	Soomaaliga	so
Albanian	shqip	sq
Serbian	српски / srpski	sr
Sranan	Sranantongo	srn
Swati	SiSwati	ss
Sesotho	Sesotho	st
Saterland Frisian	Seeltersk	stq
Sundanese	Basa Sunda	su
Swedish	svenska	sv
Swahili	Kiswahili	sw
Silesian	ślůnski	szl
Tamil	தமிழ்	ta
Telugu	తెలుగు	te
Tetum	tetun	tet
Tajik	тоҷикӣ	tg
Thai	ไทย	th
Tigrinya	ትግርኛ	ti
Turkmen	Türkmençe	tk
Tagalog	Tagalog	tl
Tswana	Setswana	tn
Tongan	lea faka-Tonga	to
Tok Pisin	Tok Pisin	tpi
Turkish	Türkçe	tr
Tsonga	Xitsonga	ts
Tatar	татарча/tatarça	tt
Tumbuka	chiTumbuka	tum
Twi	Twi	tw
Tahitian	reo tahiti	ty
Tuvan	тыва дыл	tyv
Udmurt	удмурт	udm
Uyghur	ئۇيغۇرچە / Uyghurche	ug
Ukrainian	українська	uk
Urdu	اردو	ur
Uzbek	oʻzbekcha/ўзбекча	uz
Venda	Tshivenda	ve
Venetian	vèneto	vec
Vepsian	vepsän kel’	vep
Vietnamese	Tiếng Việt	vi
West Flemish	West-Vlams	vls
Volapük	Volapük	vo
Walloon	walon	wa
Waray	Winaray	war
Wolof	Wolof	wo
Wu	吴语	wuu
Kalmyk	хальмг	xal
Xhosa	isiXhosa	xh
Mingrelian	მარგალური	xmf
Yiddish	ייִדיש	yi
Yoruba	Yorùbá	yo
Zhuang	Vahcuengh	za
Zeelandic	Zeêuws	zea
Chinese	中文	zh
Classical Chinese	文言	zh-classical
Min Nan	Bân-lâm-gú	zh-min-nan
Cantonese	粵語	zh-yue
Zulu	isiZulu	zu
